id	type
SRR975551	cancer
SRR975552	cancer
SRR975553	cancer
SRR975554	cancer
SRR975555	cancer
SRR975556	cancer
SRR975557	cancer
SRR975558	cancer
SRR975559	cancer
SRR975560	cancer
SRR975561	cancer
SRR975562	cancer
SRR975563	cancer
SRR975564	cancer
SRR975565	cancer
SRR975566	cancer
SRR975567	cancer
SRR975568	cancer
SRR975569	normal
SRR975570	normal
SRR975571	normal
SRR975572	normal
SRR975573	normal
SRR975574	normal
SRR975575	normal
SRR975576	normal
SRR975577	normal
SRR975578	normal
SRR975579	normal
SRR975580	normal
SRR975581	normal
SRR975582	normal
SRR975583	normal
SRR975584	normal
SRR975585	normal
SRR975586	normal
SRR975587	normal
